Service Category,Service Type,Service Product,Service Product Supplier(Optional)
Peptide Therapy,Peptide Therapy,BPC 157,
Ultrasound,Ultrasound,--,--
Ultrasound,Ultrasound,,
Ultrasound,Ultrasound,--,--
Facials,Hydrafacial,,
Facials,SilkPeel,,
Facials,Diamond Glow,,
Facials,Other facial,,--
Other Non Medical,Massage,--,--
Other Non Medical,Microblading,--,
Other Non Medical,Microdermabrasion,--,
Other Non Medical,Dermaplaning,,
Other Non Medical,Teeth Whitening,,
Other Non Medical,Waxing,--,--
Other Non Medical,Other Non Medical Service,--,--
Consultation,Consultation,-- ,--
Follow up,Follow up,,
Other,Other,,
